source,target
sir_tails,Crafts
sir_tails,Cars & Trucks by Make & Model
sir_tails,Fish
sir_tails,Basketball
sir_tails,Footwear Product Types
sir_tails,Meat & Seafood
sir_tails,Video Games
sir_tails,Fashion Products
sir_tails,Boxing
sir_tails,Vacation & Leisure Activities
sir_tails,Action TV & Movies
sir_tails,Frozen Desserts
sir_tails,Nail Care Product Types
sir_tails,Gym Workouts
sir_tails,Body Modification
sir_tails,Birds
sir_tails,Snacks
sir_tails,Racket Sports
sir_tails,Basketball Leagues
sir_tails,Video Game Consoles & Hardware
sir_tails,AR/VR Games
sir_tails,Turtles
sir_tails,Popular Video Games
sir_tails,European Cars & Trucks
sir_tails,Snakes
sir_tails,Hair Care & Styling
sir_tails,Restaurants
sir_tails,Eye Makeup
sir_tails,Wild Cats
sir_tails,Cakes
sir_tails,Cocktails
sir_tails,Beauty
sir_tails,Skin & Body Care
sir_tails,Combat Sports
sir_tails,Juices & Smoothies
sir_tails,Makeup
sir_tails,Comic Strips
sir_tails,Stringed Instruments
sir_tails,Comic Books & Graphic Novels
sir_tails,Photography
sir_tails,Animation TV & Movies
sir_tails,Beauty Product Types
sir_tails,Reptiles
sir_tails,Guitars
sir_tails,Coffee Drinks
sir_tails,Video Games by Game Mechanics
sir_tails,Dog Breeds
sir_tails,Nail Care
sir_tails,Battle Royale Video Games
sir_tails,Seafood
sir_tails,Lions
sir_tails,Types of Sports
sir_tails,Skateboarding
sir_tails,Dance
sir_tails,Makeup & Cosmetic Product Types
sir_tails,Fortnite
sir_tails,Cookies
sir_tails,Beauty Products
sir_tails,Horticulture & Gardening
sir_tails,Video Games by Game Play Genre
sir_tails,Gardening & Landscaping
sir_tails,Giraffes
sir_tails,Jewelry
sir_tails,Monkeys
sir_tails,Hair Types
sir_tails,Nails & Nail Care
sir_tails,Cars & Trucks
sir_tails,Cars
sir_tails,Vehicle & Transportation Industry
sir_tails,Faces & Face Care
sir_tails,Primates
sir_tails,Curly Hair
sir_tails,Running
sir_tails,Animals
sir_tails,Hair Care
sir_tails,Horses
sir_tails,Body Art
sir_tails,Football
sir_tails,Braids
sir_tails,Card Games
sir_tails,Strategy Video Games
sir_tails,Hair Product Types
sir_tails,Dreadlocks
sir_tails,Recipes
sir_tails,Clothing & Accessories
sir_tails,Interior Design
sir_tails,Pets
sir_tails,Soccer
sir_tails,Weightlifting
sir_tails,Racing Video Games
sir_tails,Foods
sir_tails,TV & Movies Celebrities
sir_tails,Prepared Foods & Dishes
sir_tails,Yoga
sir_tails,Popular Survival Video Games
sir_tails,Hairstyles
sir_tails,Chickens
sir_tails,East Asian Food
sir_tails,Beef
sir_tails,Pizza
sir_tails,Alcoholic Beverages
sir_tails,Baked Goods
sir_tails,NBA
sir_tails,Aviation
sir_tails,Poultry
sir_tails,Ground Transportation
sir_tails,Musical Instruments
sir_tails,Nail Polish & Art
